city,pctPoverty,meanRisk
"Denver, CO",0.05247169290251312,0.052934602409743486
"Denver, CO",0.08682008368200837,0.06630782409484753
"Denver, CO",0.20725933719095213,0.07079582209314793
"Denver, CO",0.06874095513748191,0.029113022265353727
"Denver, CO",0.02035416242621616,0.025355979258157264
"Denver, CO",0.043912175648702596,0.026436993018214117
"Denver, CO",0.08543458914268763,0.05197221064711055
"Denver, CO",0.028299459737586827,0.032957451890679286
"Denver, CO",0.0898921294446664,0.06277003038476131
"Denver, CO",0.10413311862587225,0.07868966033769272
"Denver, CO",0.1281055900621118,0.061623770010660196
"Denver, CO",0.05056669572798605,0.05942155765417545
"Denver, CO",0.09696092619392185,0.10510343588198648
"Denver, CO",0.16497557309282224,0.06377615884477025
"Denver, CO",0.07928151130380923,0.07575027904079187
"Denver, CO",0.22666666666666666,0.079535818806268
"Denver, CO",0.3224608857067091,0.0907715933598293
"Denver, CO",0.4884393063583815,0.10651506709636649
"Denver, CO",0.06534422403733955,0.023011795962484434
"Denver, CO",0.22165682882149398,0.04586497376510743
"Denver, CO",0.2563457580608278,0.056989340402179046
"Denver, CO",0.18020833333333333,0.07685260105000807
"Denver, CO",0.2317175679462034,0.11249419567103096
"Denver, CO",0.07981580966999233,0.06839426309892159
"Denver, CO",0.06189194783688677,0.0783770026830021
"Denver, CO",0.10720448662640207,0.07946710885833778
"Denver, CO",0.12586405529953917,0.12645997507470116
"Denver, CO",0.22762148337595908,0.07836976327800821
"Denver, CO",0.24427096449257113,0.057389312425191664
"Denver, CO",0.07144706186901371,0.055564641484010496
"Denver, CO",0.28064085447263015,0.22380104892794506
"Denver, CO",0.10986301369863014,0.10246733021500154
"Denver, CO",0.08339173090399439,0.0750897629146419
"Denver, CO",0.20642367376398413,0.06054222380491557
"Denver, CO",0.07818791946308724,0.08229452277132249
"Denver, CO",0.16273335681578022,0.046673133859939424
"Denver, CO",0.07637420718816068,0.06684295899744568
"Denver, CO",0.17651725505751686,0.04222993057000042
"Denver, CO",0.14067278287461774,0.037703030256048084
"Denver, CO",0.1894578313253012,0.03300130166620167
"Denver, CO",0.24141602342294383,0.07092972911914759
"Denver, CO",0.11394176931690929,0.033705627320794206
"Denver, CO",0.08359423919849718,0.04358471028624926
"Denver, CO",0.04252199413489736,0.08739604031057838
"Denver, CO",0.17593880389429764,0.10593124659708641
"Denver, CO",0.11413673232908458,0.06924444972777323
"Denver, CO",0.152,0.07425495380855464
"Denver, CO",0.24632768361581922,0.061367508298538646
"Denver, CO",0.13655913978494624,0.04747601061814214
"Denver, CO",0.07734806629834254,0.04900274378337157
"Denver, CO",0.37310098302055406,0.038397233742457654
"Denver, CO",0.09935602575896964,0.029388575125556482
"Denver, CO",0.13528539659006672,0.025088335589880363
"Denver, CO",0.06280048076923077,0.027270820277726385
"Denver, CO",0.06285206048028462,0.022575095513249974
"Denver, CO",0.07976424361493124,0.028939434864761377
"Denver, CO",0.06951219512195123,0.02313894294106055
"Denver, CO",0.06836461126005362,0.04187700221081453
"Denver, CO",0.0665698880132725,0.06151202436168856
"Denver, CO",0.09596510359869138,0.06523706472185677
"Denver, CO",0.029748992872637124,0.07786814499570545
"Denver, CO",0.07047872340425532,0.09765277016768223
"Denver, CO",0.07207207207207207,0.11342092232413388
"Denver, CO",0.08139104698483167,0.02156772501391678
"Denver, CO",0.11571025399811853,0.0529807614959633
"Denver, CO",0.11880088823094004,0.01766460797152251
"Denver, CO",0.06229410002994909,0.110846938771818
"Denver, CO",0.06017651778550415,0.059679274992992144
"Denver, CO",0.07830985915492958,0.09562637813074344
"Denver, CO",0.19956033219345384,0.06599636129676704
"Denver, CO",0.09065849923430322,0.03134046936436638
"Denver, CO",0.040229885057471264,0.046432394274851144
"Denver, CO",0.06551571491810536,0.040704754845689764
"Denver, CO",0.10211591536338546,0.029500357847217735
"Denver, CO",0.02181709503885236,0.02559923669594406
"Denver, CO",0.06265664160401002,0.0787490638126597
"Denver, CO",0.026029924164787867,0.07973259384791712
"Denver, CO",0.1948130277442702,0.22818787650180838
"Denver, CO",0.16626506024096385,0.14802863566119076
"Denver, CO",0.10162235241099594,0.09293155502130987
"Denver, CO",0.29492039423805916,0.06985871941559549
"Denver, CO",0.077035307849431,0.09780813110120659
